id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_bayi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,49743,ORANG,2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,48337,ORANG,2017
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1528,ORANG,2017
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1454,ORANG,2017
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,19308,ORANG,2017
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,18527,ORANG,2017
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,33653,ORANG,2017
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,33518,ORANG,2017
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,23205,ORANG,2017
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,21965,ORANG,2017
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,15202,ORANG,2017
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,14445,ORANG,2017
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,8628,ORANG,2017
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,8038,ORANG,2017
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,9435,ORANG,2017
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,8816,ORANG,2017
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,22294,ORANG,2017
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,21078,ORANG,2017
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,9458,ORANG,2017
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,9107,ORANG,2017
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,9842,ORANG,2017
