kode_kabupaten_kota,nama_kabupaten_kota,tahun,balita_gizi_kurang,balita_kurus,balita_pendek,jumlah_bayi_imunisasi_lengkap,jumlah_kasus_dbd,jumlah_kasus_diare,jumlah_pneumonia,jumlah_perkiraan_pneumonia,jumlah_balita_stunting
3275,KOTA BEKASI,2019,5797,4955,8010,49765,2373,8368,2801,13924,11737
3275,KOTA BEKASI,2020,8228,7954,14194,44150,1646,4821,1489,33206,13964
3275,KOTA BEKASI,2021,7343,7663,9832,43464,1844,3211,1120,31076,9820
3276,KOTA DEPOK,2019,5450,3021,5241,42802,2200,7116,1694,11120,5241
3276,KOTA DEPOK,2020,5948,3568,5718,39145,1276,3750,824,2207,6425
3276,KOTA DEPOK,2021,2397,4639,3675,39543,3155,2497,801,9351,3726
3277,KOTA CIMAHI,2019,2014,888,3269,10088,1020,3852,1371,2718,3269
3277,KOTA CIMAHI,2020,2491,1204,3520,9189,433,1530,947,2709,3708
3277,KOTA CIMAHI,2021,1221,2199,3261,9144,590,1162,657,2576,3161
3278,KOTA TASIKMALAYA,2019,3738,1679,5373,10774,658,5052,1686,3047,5373
3278,KOTA TASIKMALAYA,2020,3738,1679,5373,10289,1409,3525,1118,3353,7746
3278,KOTA TASIKMALAYA,2021,2477,4452,6243,10265,909,2755,1000,3410,6194
3279,KOTA BANJAR,2019,968,523,962,4791,62,2717,569,935,962
3279,KOTA BANJAR,2020,1086,837,1355,2412,146,1274,498,935,1355
3279,KOTA BANJAR,2021,727,1060,976,2143,29,864,249,933,929
