id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2177,ORANG,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1651,ORANG,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1554,ORANG,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,1877,ORANG,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,1680,ORANG,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,2578,ORANG,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,2373,ORANG,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,758,ORANG,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,668,ORANG,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1331,ORANG,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1078,ORANG,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,103,ORANG,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,97,ORANG,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,963,ORANG,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,870,ORANG,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,574,ORANG,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,468,ORANG,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1690,ORANG,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,1548,ORANG,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,904,ORANG,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,639,ORANG,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,811,ORANG,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,678,ORANG,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,430,ORANG,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,394,ORANG,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,515,ORANG,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,432,ORANG,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,605,ORANG,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,513,ORANG,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,259,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,239,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1456,ORANG,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1623,ORANG,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1649,ORANG,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1404,ORANG,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2326,ORANG,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2310,ORANG,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1926,ORANG,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1729,ORANG,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,2719,ORANG,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,2578,ORANG,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,839,ORANG,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,1337,ORANG,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,2787,ORANG,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,2440,ORANG,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,890,ORANG,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,734,ORANG,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2947,ORANG,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,2611,ORANG,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1167,ORANG,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1124,ORANG,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1308,ORANG,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1099,ORANG,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,2348,ORANG,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2169,ORANG,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1576,ORANG,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1396,ORANG,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,587,ORANG,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,624,ORANG,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,2578,ORANG,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,2373,ORANG,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,758,ORANG,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,668,ORANG,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1331,ORANG,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1078,ORANG,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,113,ORANG,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,84,ORANG,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,487,ORANG,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,484,ORANG,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1422,ORANG,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1290,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1251,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,980,ORANG,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,676,ORANG,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,559,ORANG,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,575,ORANG,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,545,ORANG,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,407,ORANG,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,394,ORANG,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,359,ORANG,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,298,ORANG,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,532,ORANG,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,468,ORANG,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,141,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,108,ORANG,2021
